author,date,title,abstract,url,eprint
JL Lázaro and ÁB Jiménez and A Takeda,2018,Improving cash logistics in bank branches by coupling machine learning and robust optimization,"This paper describes how Machine Learning and Robust Optimization techniques can greatly improve cash logistics operations. Specifically, we seek to optimize the logistics followed by the different branches of a given bank. Machine Learning is used to forecast …",https://www.sciencedirect.com/science/article/pii/S0957417417306474,
Y Chen and Z Lin and X Zhao and G Wang…,2014,Deep learning-based classification of hyperspectral data,"… Similarly, machine learning systems with multiple layers of processing extract more abstract,
invariant … have a bunch of alternatives such as restricted Boltzmann machines (RBMs) [42 … CHEN
et al.: DEEP LEARNING-BASED CLASSIFICATION OF HYPERSPECTRAL DATA 3 … 
",https://ieeexplore.ieee.org/abstract/document/6844831/,https://www.researchgate.net/profile/Yushi_Chen/publication/264564342_Deep_Learning-Based_Classification_of_Hyperspectral_Data/links/5524e8300cf2b123c5175d1d/Deep-Learning-Based-Classification-of-Hyperspectral-Data.pdf
A Asadi and M Alsubaey and C Makatsoris,2015,A machine learning approach for predicting delays in construction logistics,"Construction project management is vital for accomplishing pre-determined objectives. Despite using construction management, most of the projects do not meet original time schedule or has been delayed. Delay is one of the biggest problems faced by construction …",https://www.tandfonline.com/doi/abs/10.1080/2287108X.2015.1059920,
AC Bahnsen and D Aouada…,2014,Example-dependent cost-sensitive logistic regression for credit scoring,"Several real-world classification problems are example-dependent cost-sensitive in nature, where the costs due to misclassification vary between examples. Credit scoring is a typical example of cost-sensitive classification. However, it is usually treated using methods that do …",https://ieeexplore.ieee.org/abstract/document/7033125/,http://orbilu.uni.lu/bitstream/10993/18656/2/Example-Dependent%20Cost-Sensitive%20Logistic%20Regression%20for%20Credit%20Scoring_publish.pdf
B Chen and B Wang,2017,Location selection of logistics center in e-commerce network environments,"… order hierarchy to select suitable logistics centers. Keywords: Logistics Center
Location, Cluster Analysis, Analytic Hierarchy Process, Neural Network, Machine
Learning 1. Introduction The location of a logistics center refers … 
",http://article.ajnna.org/pdf/10.11648.j.ajnna.20170304.11.pdf,http://article.ajnna.org/pdf/10.11648.j.ajnna.20170304.11.pdf
C Jiang and H Zhang and Y Ren and Z Han…,2016,Machine learning paradigms for next-generation wireless networks,"… each instance is between the “exploita- tion” of the specific machine that has … required to glean
more information about the expected payoffs of the other machines … 3, we summarize the
rudimentary character- istics and applications of reinforcement machine learning algorithms … 
",https://ieeexplore.ieee.org/abstract/document/7792374/,https://eprints.soton.ac.uk/403861/1/WirelessMag_Hanzo-rev1.pdf
T Kamishima and S Akaho…,2011,Fairness-aware learning through regularization approach,"… To look more carefully at the problem of fairness in machine learning, we shall examine the
underlying causes or sources of unfairness … by the mutual information between X and S. 2)
Underestimation: Underestimation is the state in which a learned model is … Given a learning … 
",https://ieeexplore.ieee.org/abstract/document/6137441/,https://www.researchgate.net/profile/Toshihiro_Kamishima/publication/220766348_Fairness-aware_Learning_through_Regularization_Approach/links/590201894585156502a2e679/Fairness-aware-Learning-through-Regularization-Approach.pdf
T Becker and W Intoyoad,2017,Context aware process mining in logistics,"… Our research investigates how to apply context awareness based on Machine Learning in Process
Mining for … measures for vectors, three prerequisites have to be considered: (1) the machine IDs
in … differently than the distance between (A, B) and (A, F), because machines B and … 
",https://www.sciencedirect.com/science/article/pii/S2212827117303311,https://www.sciencedirect.com/science/article/pii/S2212827117303311/pdf?md5=56612b889d67831b2d0f2eadc76e32d6&isDTMRedir=Y&pid=1-s2.0-S2212827117303311-main.pdf&_valck=1
RY Zhong and GQ Huang and S Lan and QY Dai and X Chen…,2015,A big data approach for logistics trajectory discovery from RFID-enabled production data,"… levels, key performance indicators (KPIs) such as average processing time, learning curves, and …
Similarly, materials and machines could be categorized according their types … of various
manufacturing objects like operation efficiency of logistics operators, machine utilization, etc … 
",https://www.sciencedirect.com/science/article/pii/S0925527315000481,http://www.samiagamoura.com/_media/2.-paper-big-data-logistics.pdf
B Scholz-Reiter and K Windt…,2004,Autonomous logistic processes: New demands and first approaches,"… Save communication through public networks is an important pre-condition between logistics
partners … automatically to the particular terminal, which, for example, is essential in off board
communication [5]. Machine learning [8] using artificial intelligence methods, the … 
",http://www.sfb637.uni-bremen.de/fileadmin/SFB_Files/PDF_Download/SFB637_CIRP_2004.pdf,http://www.sfb637.uni-bremen.de/fileadmin/SFB_Files/PDF_Download/SFB637_CIRP_2004.pdf
SY Yerima and S Sezer and I Muttik,2015,High accuracy android malware detection using ensemble learning,"… forest has several advantages that can be leveraged for improved machine learning-based
detection … logistic utilises 'additive logistic regression' using simple regression functions as base
learners … of all the (diverse) 179 property vectors (Table 1). The learning algorithms were … 
",https://digital-library.theiet.org/content/journals/10.1049/iet-ifs.2014.0099,https://arxiv.org/pdf/1608.00835
D Tamagawa and E Taniguchi and T Yamada,2010,Evaluating city logistics measures using a multi-agent model,"… In constructing the learning model by using reinforcement learning, we have to define, “episode”
and … of the two techniques to decide which should be adopted as the learning model. In comparing,
we considered that only freight carriers and shippers learned and changed their … 
",https://www.sciencedirect.com/science/article/pii/S1877042810010670,https://www.sciencedirect.com/science/article/pii/S1877042810010670/pdf?md5=d5b621d6df24896148c998dde504b7a7&pid=1-s2.0-S1877042810010670-main.pdf&_valck=1
C Zhang and Y Lu,2006,The reverse logistics evaluation based on KPCA-LINMAP model,"According to the limitation of principal components analysis (PCA) in dealing with the nonlinear data, connecting with the linear programming techniques for multidimensional analysis of preference (LINMAP), this paper presents the kernel principal components …",https://ieeexplore.ieee.org/abstract/document/4028490/,
M Shewhart,1992,Interpreting statistical process control (SPC) charts using machine learning and expert system techniques,"INTERPRETING STA TISTICAL PROCESS CONTROL (SPC) CHARTS USING MACHINE
LEARNING AND EXPERT SYSTEM TECHNIQUES Mark Shewhart Air Force Logistics Command
(AFLC) Center for Supportability and Technology Insertion (CSTI) Special Projects Office … 
",https://ieeexplore.ieee.org/abstract/document/220472/,
P Mohassel and Y Zhang,2017,Secureml: A system for scalable privacy-preserving machine learning,"… However, the massive data collection raises privacy concerns. In this paper, we present new
and efficient protocols for privacy preserving machine learning for linear regression, logistic
regression and neural network training using the stochastic gradient descent method … 
",https://ieeexplore.ieee.org/abstract/document/7958569/,https://obj.umiacs.umd.edu/papers_for_stories/SecureML_Zhang.pdf
D Knoll and M Prüglmeier and G Reinhart,2016,Predicting Future Inbound Logistics Processes Using Machine Learning,"Manufacturing industry is highly affected by trends of globalization and increasing dynamics of product life-cycles which results in global supply chain networks. For inbound logistics, a high variance of parts from different suppliers and locations needs to be delivered to the …",https://www.sciencedirect.com/science/article/pii/S2212827116308770,https://www.sciencedirect.com/science/article/pii/S2212827116308770/pdf?md5=4021df6b76dfa2100a6c3f2e6b1ef242&pid=1-s2.0-S2212827116308770-main.pdf&_valck=1
S Boyd and N Parikh and E Chu and B Peleato…,2011,Distributed optimization and statistical learning via the alternating direction method of multipliers,"… chain Monte Carlo • Model choice • Nonparametric methods • Online learning • Optimization •
Reinforcement learning • Relational learning … A. Cano, and GB Giannakis, “Consensus-based
distributed support vector machines,” Journal of Machine Learning Research, vol … 
",http://www.nowpublishers.com/article/Details/MAL-016,https://www.nowpublishers.com/article/DownloadSummary/MAL-016
L Wang and X Tian and A Li and H Li,2013,Machine vision applications in agricultural food logistics,Agricultural food's logistics needs to be efficient and to provide assurance on the safety and quality of its products which consumers could trust. This paper designs a machine vision system by which fruits or vegetables can be detected for defects and damages during …,https://ieeexplore.ieee.org/abstract/document/6961105/,
B Brenner and V Hummel,2017,Digital twin as enabler for an innovative digital shopfloor management system in the ESB Logistics Learning Factory at Reutlingen-University,"… in the study of mechanisms of intelligent human behavior and running through simulation using
artefacts, usually with programs on computing machines … Further we have to gain knowledge
in which way we can apply artificial intelligence eg regarding machine learning … 
",https://www.sciencedirect.com/science/article/pii/S2351978917301579,https://www.sciencedirect.com/science/article/pii/S2351978917301579/pdf?md5=af2035134fbadb9ecc396d73b782958c&isDTMRedir=Y&pid=1-s2.0-S2351978917301579-main.pdf&_valck=1
K Shafi and A Bender and HA Abbass,2011,Fleet estimation for defence logistics using a multi-objective learning classifier system,"… the above setup we only restrict the multi- objectivity consideration to the reinforcement component
of … Next, we used the Weka machine learning tool [14] to build DT for each of the … and smaller tree
size) emphasise the better prediction performance of the models learned by the … 
",https://dl.acm.org/citation.cfm?id=2001738,https://www.researchgate.net/profile/Kamran_Shafi/publication/220742881_Fleet_estimation_for_defence_logistics_using_a_multi-objective_Learning_Classifier_System/links/0046352a2c5f5e0842000000/Fleet-estimation-for-defence-logistics-using-a-multi-objective-Learning-Classifier-System.pdf
Z Li and SMR Soroushmehr and Y Hua and M Mao…,2017,Classifying osteosarcoma patients using machine learning approaches,"… Support vector machine approach to separate control and breast cancer serum samples … Fast
training of support vector machines using sequential minimal optimization. In B. Schoelkopf, C.
Burges, and A. Smola, editors, Advances in Kernel Methods - Support Vector Learning … 
",https://ieeexplore.ieee.org/abstract/document/8036768/,
P Zhong and P Zhang and R Wang,2008,Dynamic learning of SMLR for feature selection and classification of hyperspectral data,"… and classifier design, established themselves among the state of the art in the literature of machine
learning … ZHONG et al.: DYNAMIC LEARNING OF SMLR FOR FEATURE SELECTION AND
CLASSIFICATION … we thus set wm = 0, and the only parameters to be learned are the … 
",https://ieeexplore.ieee.org/abstract/document/4464110/,
B Krishnapuram and L Carin…,2005,Sparse multinomial logistic regression: Fast algorithms and generalization bounds,Recently developed methods for learning sparse classifiers are among the state-of-the-art in supervised learning. These methods learn classifiers that incorporate weighted sums of basis functions with sparsity-promoting priors encouraging the weight estimates to be either …,https://ieeexplore.ieee.org/abstract/document/1424458/,http://www.stat.columbia.edu/~liam/teaching/neurostat-spr11/papers/optimization/hartemink05.pami.pdf
RY Zhong and S Lan and C Xu and Q Dai and GQ Huang,2016,Visualization of RFID-enabled shopfloor logistics Big Data in Cloud Manufacturing,"… and inform the mobile ASLOs to move them to different processing machines according to … rules
that are used for long-term strategic decisions such as logistics task assignments … For the visu-
alization of operator performance, statistics and machine learning approaches are used … 
",https://link.springer.com/article/10.1007/s00170-015-7702-1,https://www.researchgate.net/profile/Ray_Zhong/publication/283194201_Visualization_of_RFID-Enabled_Shopfloor_Logistics_Big_Data_in_Cloud_Manufacturing/links/5631e88d08ae13bc6c358951.pdf
H Sahin and A Subasi,2015,Classification of the cardiotocogram data for anticipation of fetal risks using machine learning techniques,"… Support vector machines (SVM) were developed by [26] for using binomial classification … of
classification accuracy and being a model having an exposition between the traditional artificial
intelligence algorithms … 3. The performances of the respective machine learning methods … 
",https://www.sciencedirect.com/science/article/pii/S1568494615002653,
SJ Blöchl and M Schneider,2016,Simulation game for intelligent production logistics–The PuLL® learning factory,"… storage in production areas, a basically unlimited number of production variants possible, multi
machine operation and reduced space for machines as well … 3, the PuLL® Competence Centre
developed a completely new conception of a 900 m² physical learning factory for … 
",https://www.sciencedirect.com/science/article/pii/S2212827116302876,https://www.sciencedirect.com/science/article/pii/S2212827116302876/pdf?md5=f04bc83b010568792b7f88341a13edf2&isDTMRedir=Y&pid=1-s2.0-S2212827116302876-main.pdf
J Kretzschmar and K Gebhardt and C Theiß…,2016,Range prediction models for e-vehicles in urban freight logistics based on machine learning,"In this paper, we want to present an ICT architecture with a range prediction component, which sets up on machine learning algorithms based on consumption data. By this, the range component and therefore ICT system adapts to new vehicles and environmental …",https://link.springer.com/chapter/10.1007/978-3-319-40973-3_17,
H Rau and YT Fang,2009,Conflict resolution of product package design for logistics using the triz method,"This paper is focused on the global logistics packaging issues at notebook new product introduction (NPI) stage. This study resolves the conflict problem of design attributes when considering product packaging design for logistics (DFL). First of all, this paper surveys …",https://ieeexplore.ieee.org/abstract/document/5212618/,https://www.researchgate.net/profile/Fang_Yi-Tse/publication/224581508_Conflict_resolution_of_product_package_design_for_logistics_using_the_TRIZ_method/links/0c960530ed2d4a1863000000.pdf
L Barreto and A Amaral and T Pereira,2017,Industry 4.0 implications in logistics: an overview,"… transportation system, logistics services, health services, autonomous vehicles, machine learning
and smart … Internet that enables the communication between each other machines and humans …
of logistics through the convergence of Machine to Machine (M2M) communication … 
",https://www.sciencedirect.com/science/article/pii/S2351978917306807,https://www.sciencedirect.com/science/article/pii/S2351978917306807/pdf?md5=0cb2ae3586f01ca4f2e037934a77d841&pid=1-s2.0-S2351978917306807-main.pdf
S Landset and TM Khoshgoftaar and AN Richter…,2015,A survey of open source tools for machine learning with big data in the Hadoop ecosystem,"… A survey of open source tools for machine learning with big data in the Hadoop
ecosystem. Sara … Abstract. With an ever-increasing amount of options, the task of
selecting machine learning tools for big data can be difficult. The … 
",https://www.biomedcentral.com/openurl?doi=10.1186/s40537-015-0032-1,https://www.biomedcentral.com/openurl?doi=10.1186/s40537-015-0032-1
M Dudik and Z Harchaoui and J Malick,2012,Lifted coordinate descent for learning with trace-norm regularization,"… A large set of machine learning techniques including SVMs, logistic regression or boosting can
be … form of a matrix, such as in multi-class or multi- task learning problems, and … Appearing in
Proceedings of the 15th International Con- ference on Artificial Intelligence and Statistics … 
",http://www.jmlr.org/proceedings/papers/v22/dudik12/dudik12.pdf,http://www.jmlr.org/proceedings/papers/v22/dudik12/dudik12.pdf
TA Estlin and RJ Mooney,1997,Learning to improve both efficiency and quality of planning,"… Scope could use learned control information for smaller problems to help generate training
examples for more complex problems … Explanation-based learning: A problem solving perspective.
Artificial Intelligence, 40:63 118, 1989 … Machine Learning, 1 1 :47 80, 1986 … 
",http://www.cs.utexas.edu/users/ai-lab/pubs/scope-ijcai-97.pdf,http://www.cs.utexas.edu/users/ai-lab/pubs/scope-ijcai-97.pdf
TA Estlin and RJ Mooney,1996,Multi-strategy learning of search control for partial-order planning,"… Barrett, A., and Weld, D. 1994. Partial order planning: Evaluating possible e ciency gains. Arti
cial Intelligence 67:71{112. Bhatnagar, N., and Mostow, J. 1994. On-line learning from search
failure. Machine Learning 15:69{117. Borrajo, D., and Veloso, M. 1994 … 
",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.4.133&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.4.133&rep=rep1&type=pdf
JD Kasarda,2017,Logistics is about competitiveness and more,"… services space. With big data, machine learning, and predictive analytics becoming
logistics “toolbox” essentials, and end-to-end solutions moving in-house, the human
resource chemistry of logistics will have to change. A major … 
",https://pdfs.semanticscholar.org/9149/05bf5d6077f03fea9546e1abe83d15a81e1e.pdf,https://pdfs.semanticscholar.org/9149/05bf5d6077f03fea9546e1abe83d15a81e1e.pdf
T Croonenborghs and J Ramon and H Blockeel…,2007,Online Learning and Exploiting Relational Models in Reinforcement Learning.,"… learner. In Proc. of the 12th European Conf. on Machine Learning, volume 2167
of Lecture Notes in Artificial Intelligence, pages 97–108, 2001. [Driessens, 2004]
K. Driessens. Relational Reinforcement Learning. PhD … 
",https://www.aaai.org/Papers/IJCAI/2007/IJCAI07-116.pdf,https://www.aaai.org/Papers/IJCAI/2007/IJCAI07-116.pdf
P Komarek and AW Moore,2005,Making logistic regression a core data mining tool with tr-irls,"… These methods face the numeric and overfitting problems common to nonlinear optimization
in machine learning. See surveys in [15, 20], and analysis in [8] … [1] C.-C. Chang and C.-J. Lin.
LIBSVM: a library for support vector machines, 2001 … The Elements of Statistical Learning … 
",https://ieeexplore.ieee.org/abstract/document/1565757/,https://kilthub.cmu.edu/articles/Making_Logistic_Regression_A_Core_Data_Mining_Tool/6555458/files/12037691.pdf
L Monostori and P Valckenaers and A Dolgui and H Panetto…,2015,Cooperative control in production and logistics,"… Machine Learning (ML) is divided into 3 main paradigms, namely: (a) supervised learning (such
as neural networks, kernel machines, and Bayes classifiers … learning (such as clustering, feature
extraction, and Kohonen maps); and (c) reinforcement learning (such as … 
",https://www.sciencedirect.com/science/article/pii/S1367578815000024,https://arxiv.org/pdf/1506.05608
B Mikavicaa…,2015,Big data: challenges and opportunities in logistics systems,"… It encompasses many research topics, disciplines and it investigates a variety of techniques and
theories from different fields, including data mining, machine learning, informational retrieval,
analysis etc. Big Data has indubitably become important trend in logistics systems … 
",https://pdfs.semanticscholar.org/27ed/f435fb544f95700bff34ab8c7ffe3d992b27.pdf,https://pdfs.semanticscholar.org/27ed/f435fb544f95700bff34ab8c7ffe3d992b27.pdf
SM Ryan and KJ Min and S Olafsson,2003,Experimental study of scalability enhancement for reverse logistics e-commerce,"… Later versions have used other learning methods, including Bayesian networks (Breese et al.,
1998), classification methods (Basu … Here the concept to be learned is whether or not a user wants
to participate in an … 9. Study of Scalability Enhancement for Reverse Logistics e-Com … 
",https://link.springer.com/chapter/10.1007/978-1-4615-0389-7_9,https://www.researchgate.net/profile/Sarah_Ryan6/publication/2385658_Experimental_Study_of_Scalability_Enhancement_for_Reverse_Logistics_E-Commerce/links/0deec52e6c1d3b1c14000000/Experimental-Study-of-Scalability-Enhancement-for-Reverse-Logistics-E-Commerce.pdf
A Kinra and RR Mukkamala and R Vatrapu,2017,Methodological demonstration of a text analytics approach to country logistics system assessments,"… analyst. Implications are discussed and future work is outlined. Keywords. Logistics
Transport system evaluation Big data analytics Data mining Text mining Machine
learning. Download conference paper PDF. 11.1 Introduction … 
",https://link.springer.com/chapter/10.1007/978-3-319-45117-6_11,https://www.researchgate.net/profile/Raghava_Rao_Mukkamala/publication/308102892_Methodological_Demonstration_of_a_Text_Analytics_Approach_to_Country_Logistics_System_Assessments/links/5a25b8120f7e9b71dd09cdfc/Methodological-Demonstration-of-a-Text-Analytics-Approach-to-Country-Logistics-System-Assessments.pdf
MAT Figueiredo and AK Jain,2001,Bayesian learning of sparse classifiers,"… zero-mean Laplacian prior on the parameters, and the “support vector machine” (SVM … In
discriminative learning, the class- conditional densities are not ,explicit modelled; the classi- fier …
classifiers [5], feedfor- ward neural networks [3, 19,211, support vector machines (SVM) and … 
",https://ieeexplore.ieee.org/abstract/document/990453/,http://www.lx.it.pt/~mtf/Figueiredo_Jain_CVPR_2001.pdf
XL Tang,2009,Study on selection of logistics supplier based on support vector machine,"The selection of logistics supplier is an important link in supply chain management, while the assessment of capacity of logistics supplier help client select logistics supplier in a better way. In view of the assessment and selection, this article proposes supplier assessment and …",https://ieeexplore.ieee.org/abstract/document/5212430/,
XB Wang and YJ Li and JY Sun,2005,Research on logistics distribution center location model and fuzzy comprehensive evaluation under electronic commerce,This study establishes the logistics distribution center location model under electronics commerce and modifies alternative expenses and time-restricting conditions of logistics distribution center location model according to the specific feature of model under …,https://ieeexplore.ieee.org/abstract/document/1527417/,
Z Hua and B Zhang,2006,A hybrid support vector machines and logistic regression approach for forecasting intermittent demand of spare parts,"… higher generalization performance than traditional neural networks in solving these machine
learning problems … LTD, we in this paper adapts the support vector machines (SVM) to … regressions,
such as loglinear analysis, negative binomial regression, and logistic modeling, have … 
",https://www.sciencedirect.com/science/article/pii/S0096300306001871,
ZK Lin and LL Gao and X Guo,2009,The reverse logistics network design of drugs,"As a special kind of goods, drugs play an important role in curing diseases and keeping people healthy. However, drugs which lose its effect and has defect in currency will do great harm to people's healthy and social stability, thus it is necessary to recall the drugs. The …",https://www.infona.pl/resource/bwmeta1.element.ieee-art-000005581089,
K Sandkuhl,2007,Information logistics in networked organizations: selected concepts and applications,"… nets and calculation of the similarity indicator [3]. When people or machines must communicate …
GLUE uses multiple machine learners and is exploiting information in concept instances and
taxonomic … Doan, A., Madhavan, J., Domingos, P., Halevy, A.: Learning to map between … 
",https://link.springer.com/chapter/10.1007/978-3-540-88710-2_4,
J Tian and M Gao and S Zhou,2009,The Research of Building Logistics Cost Forecast Based on Regression Support Vector Machine,"Building logistics cost forecasting is a complicated nonlinear problem, due to the factors that influence building logistics cost are anfratuous, so it was difficult to describe it by traditional methods. The support vector machine (SVM) has the ability of strong nonlinear function …",https://ieeexplore.ieee.org/abstract/document/5375843/,
DB Fogel and CJ Robinson,2003,Computational intelligence: the experts speak,"… Rule for Ordered Derivatives/263 18.3 Backpropagation for Supervised Learning/265 18.4 …
Honolulu, Hawaii, marked important milestones in the devel- opment of intelligent machines …
computational intelligence that promise to have a significant impact on machine intelligence … 
",https://books.google.com/books?hl=ko&lr=&id=IR9__G9tRk8C&oi=fnd&pg=PR13&dq=Machine+learning+in+logistics&ots=XFph3jkPW1&sig=5eHuo9RZMwhjRXLGgkR5MQ4kaUI,
X Yang and D Lo and X Xia and Y Zhang…,2015,Deep learning for just-in-time defect prediction,"… C. Feature Integration Deep Belief Network (DBN) is an advanced deep learning
algorithm [9], [29], [10]. It consists of several Restricted Boltzmann's Machines (RBM) …
Fig. 2. The Structure of a Restricted Boltzmann's Machine … 
",https://ieeexplore.ieee.org/abstract/document/7272910/,https://xin-xia.github.io/publication/qrs15.pdf
J Jiang and Z Wang,2006,On the Manpower Dispatch in Logistics Enteprises by Generalized Fuzzy Assignment Problem,This paper mainly studies the fuzzy matching between the post and the quality of personnel in the logistic corporation under the modern supply chain circumstances. The author first analyzes the limitations of single matching method between the single post and the ability of …,https://ieeexplore.ieee.org/abstract/document/4028341/,
MI Jordan and TM Mitchell,2015,"Machine learning: Trends, perspectives, and prospects","… psychology and neuroscience, one notable example being the use of reinforcement learning
algorithms to … New machine-learning methods capable of working collaboratively with humans
to jointly analyze complex data sets might bring together the abilities of machines to tease … 
",https://science.sciencemag.org/content/349/6245/255.short,https://cs.uwaterloo.ca/~y328yu/mycourses/480-2018/readings/JordanMitchell.pdf
H Guosheng and Z Guohong,2008,Comparison on neural networks and support vector machines in suppliers' selection,"… SVMs are novel learn- ing machines based on the statistical learning the- Page 2. Comparison
on neural networks and support vector machines in suppliers' selection 317 … algorithms A brief
survey of neural network and support vector machine is given in the next section … 
",https://ieeexplore.ieee.org/abstract/document/6072535/,https://ieeexplore.ieee.org/iel5/5971804/6072513/06072535.pdf
CY Huang and SY Kuo,2002,Analysis of incorporating logistic testing-effort function into software reliability modeling,"… [10] K. Srinivasan and D. Fisher, “Machine learning approaches to … [17] RH Hou, SY Kuo, and
YP Chang, “Applying various learning curves to hyper … [20] CY Huang, SY Kuo, and IY Chen,
“Analysis of a software reli- ability growth model with logistic testing-effort function,” in Proc … 
",https://ieeexplore.ieee.org/abstract/document/1028398/,https://scholars.lib.ntu.edu.tw/bitstream/123456789/154907/1/06.pdf
HJ Kreowski and B Scholz-Reiter and KD Thoben,2012,Dynamics in Logistics,"… 93 Yilmaz Uygun and Natalia Straub The Multiple Batch Processing Machine Problem with … and
Bernd Scholz-Reiter Scheduling Multiple Batch Processing Machines with Stage … and Zäzilia
Seibold Part VIII Autonomous Control Distributed Reinforcement Learning for Optimizing … 
",https://link.springer.com/content/pdf/10.1007/978-3-642-35966-8.pdf,
AP Cui and W Liu and X Zhang,2008,Capability coordination in logistics service supply chain with options contract under Stackelberg game model,"Logistics service supply chain is different from finished goods inventory supply chain, in which supplier-buyer coordination is approached only through logistics capability adjustment and optimization. In this paper, a coordination mechanism through options …",https://ieeexplore.ieee.org/abstract/document/4621111/,
YC Huang and B Selman and H Kautz,2000,Learning declarative control rules for constraint-based planning,"… However, the successful practical application of machine learn- ing techniques has been limited
by … eg, PRODIGY, SOAR, NONLIN, UCPOP) scale so poorly that extensive learned control knowl …
Second, previous work has focused on learning control rules that are specific to the … 
",http://www.cs.cornell.edu/selman/cs672/readings/00.icml.learning.pdf,http://www.cs.cornell.edu/selman/cs672/readings/00.icml.learning.pdf
